ID	PThresh	OR	Pvalue	Beta	SE	CI95_lower	CI95_upper	NAnnotThesh	NAnnot	NThresh	N	linkID	Annotation	GWAS	logpval	SEmin	SEmax
1	0.01	1.19598921504514	0.141236206599527	0.178973637966994	0.121651212770561	-0.059462739063306	0.417410014997294	186	748	537	2256	0	MON hCRD	BC	0.85005395547468	1.07433800227458	1.3176404278157
1	0.001	1.22143564132395	0.187311567695361	0.200026922095043	0.151699427381066	-0.0973039555718469	0.497357799761933	107	748	296	2256	0	MON hCRD	BC	0.727435401315981	1.06973621394288	1.37313506870502
1	1e-04	1.5523928475695	0.0138315060360159	0.43979751316465	0.178662563114827	0.089618889459589	0.789976136869711	75	748	189	2256	0	MON hCRD	BC	1.85913052939746	1.37373028445467	1.73105541068433
1	1e-05	1.63614232662902	0.0161464976110275	0.492341231113565	0.20466571703275	0.0911964257293749	0.893486036497754	57	748	136	2256	0	MON hCRD	BC	1.79192166733673	1.43147660959627	1.84080804366177
1	5e-08	1.75410542196411	0.0283011932545924	0.561958995886199	0.256241219252994	0.0597262061503295	1.06419178562207	36	748	84	2256	0	MON hCRD	BC	1.5481952530637	1.49786420271112	2.0103466412171
1	1e-09	1.55262591892931	0.142974830192219	0.439947638737331	0.30034606125178	-0.148730641316158	1.02862591879082	26	748	63	2256	0	MON hCRD	BC	0.844740410582137	1.25227985767753	1.85297198018109
2	0.01	1.53017330798249	0.000785647723231682	0.425381002180589	0.12668434870021	0.177079678728178	0.673682325633	183	569	537	2256	1	NEU hCRD	BC	3.10477214372075	1.40348895928228	1.6568576566827
2	0.001	1.97555017468486	8.44717715360122e-06	0.680846929020503	0.152878201384499	0.381205654306885	0.980488203734122	116	569	296	2256	1	NEU hCRD	BC	5.07328839772872	1.82267197330036	2.12842837606936
2	1e-04	2.7780979430193	1.12518480893084e-08	1.02176650037706	0.178921697589854	0.67107997310095	1.37245302765318	88	569	189	2256	1	NEU hCRD	BC	7.94877613985739	2.59917624542945	2.95701964060915
2	1e-05	3.20555160014607	1.19465560746439e-08	1.16488418169389	0.204348182460876	0.764361744070575	1.56540661931721	67	569	136	2256	1	NEU hCRD	BC	7.92275727407507	3.00120341768519	3.40989978260695
2	5e-08	3.20750827748748	5.35778372243789e-06	1.16549439817072	0.256137573671361	0.663464753774857	1.66752404256659	45	569	84	2256	1	NEU hCRD	BC	5.27101482153176	2.95137070381612	3.46364585115884
2	1e-09	4.74756656218849	3.18540597302189e-07	1.55763218407753	0.304693175083659	0.960433560913555	2.1548308072415	39	569	63	2256	1	NEU hCRD	BC	6.4968352099197	4.44287338710483	4
3	0.01	1.24037721830063	0.292727234570592	0.215415541661937	0.204736947446311	-0.185868875332833	0.616699958656706	51	168	537	2256	2	TCL hCRD	BC	0.53353687007221	1.03564027085432	1.44511416574694
3	0.001	0.928037680913402	0.775644487440773	-0.0746829425877286	0.262045827254073	-0.588292764005712	0.438926878830255	26	168	296	2256	2	TCL hCRD	BC	0.110337289722318	0.665991853659329	1.19008350816747
3	1e-04	0.74911917541418	0.388189687482234	-0.288857195419491	0.334749696611056	-0.944966600777161	0.367252209938179	14	168	189	2256	2	TCL hCRD	BC	0.410956006116768	0.414369478803124	1.08386887202524
3	1e-05	0.660829453414678	0.309977523208245	-0.414259485409912	0.408029206872257	-1.21399673087954	0.385477760059713	9	168	136	2256	2	TCL hCRD	BC	0.508669796167442	0.252800246542421	1.06885866028693
3	5e-08	0.597590716469985	0.331432331693601	-0.514849179972974	0.530098598128359	-1.55384243230456	0.524144072358611	6	168	84	2256	2	TCL hCRD	BC	0.479605127808003	0.1	1.12768931459834
3	1e-09	0.64772693301497	0.476958922608122	-0.434286071111911	0.610636537065807	-1.63113368376089	0.762561541537071	4	168	63	2256	2	TCL hCRD	BC	0.32151902232846	0.1	1.25836347008078
1	0.01	1.15111699670149	0.199884631666725	0.140732772446662	0.1097862023171	-0.0744481840948533	0.355913728988178	272	728	804	2212	0	MON hCRD	EC	0.699220595771399	1.04133079438439	1.26090319901859
1	0.001	1.17288302324683	0.191417254894684	0.15946484027127	0.122064519079253	-0.0797816171240656	0.398711297666606	183	728	531	2212	0	MON hCRD	EC	0.718018916257268	1.05081850416758	1.29494754232608
1	1e-04	1.22633593625984	0.126861194985885	0.204030809980002	0.133650713683959	-0.0579245888405575	0.465986208800562	142	728	406	2212	0	MON hCRD	EC	0.896671202024701	1.09268522257588	1.3599866499438
1	1e-05	1.12842574571719	0.41115814941161	0.120823516011959	0.14701277731986	-0.167321527534966	0.408968559558884	107	728	320	2212	0	MON hCRD	EC	0.385991097331325	0.98141296839733	1.27543852303705
1	5e-08	0.89753034169162	0.553501017285026	-0.108108352292403	0.182454544454439	-0.465719259423104	0.249502554838298	61	728	202	2212	0	MON hCRD	EC	0.256881576590376	0.715075797237181	1.07998488614606
1	1e-09	0.950935184685588	0.79985481776627	-0.0503093736641419	0.198431670234325	-0.439235447323419	0.338616699995135	50	728	163	2212	0	MON hCRD	EC	0.0969888349642142	0.752503514451263	1.14936685491991
2	0.01	1.29563926727698	0.0261494844152109	0.259004216034958	0.116459539786278	0.0307435180538527	0.487264914016064	232	574	804	2212	1	NEU hCRD	EC	1.58253686962027	1.1791797274907	1.41209880706326
2	0.001	1.30838927279989	0.035377432516008	0.26879681793241	0.127754435422308	0.0183981245046856	0.519195511360134	161	574	531	2212	1	NEU hCRD	EC	1.45127368879743	1.18063483737758	1.4361437082222
2	1e-04	1.20171829602615	0.191649620431032	0.183752445938755	0.140729407119631	-0.0920771920157215	0.459582083893231	125	574	406	2212	1	NEU hCRD	EC	0.717492036544623	1.06098888890652	1.34244770314578
2	1e-05	1.32093897494627	0.0669226030235985	0.278342828368853	0.151917815762124	-0.0194160905249113	0.576101747262616	105	574	320	2212	1	NEU hCRD	EC	1.17442717504976	1.16902115918415	1.47285679070839
2	5e-08	1.48294384171638	0.0279892444070568	0.394029194412068	0.17931307121866	0.042575574823494	0.745482814000642	70	574	202	2212	1	NEU hCRD	EC	1.55300882551651	1.30363077049772	1.66225691293504
2	1e-09	1.54891286478267	0.0246512170530039	0.437553307291278	0.194742945485827	0.0558571341390561	0.8192494804435	59	574	163	2212	1	NEU hCRD	EC	1.60816163434392	1.35416991929684	1.7436558102685
3	0.01	1.47656717467184	0.0221968908129286	0.389719917050331	0.170407972977837	0.0557202900137706	0.723719544086891	99	210	804	2212	2	TCL hCRD	EC	1.65370785425902	1.306159201694	1.64697514764968
3	0.001	1.73810598181263	0.00200227860807977	0.552796004162774	0.178904513549271	0.202143157606203	0.903448850719345	76	210	531	2212	2	TCL hCRD	EC	2.69847549252448	1.55920146826336	1.9170104953619
3	1e-04	1.66079218365351	0.00841451660657667	0.507294707604025	0.192524034124043	0.129947600720902	0.884641814487149	56	210	406	2212	2	TCL hCRD	EC	2.0749708281286	1.46826814952947	1.85331621777755
3	1e-05	2.0455743150515	0.000347139976630964	0.715678588722962	0.200060191058571	0.323560614248164	1.10779656319776	50	210	320	2212	2	TCL hCRD	EC	3.459495370107	1.84551412399293	2.24563450611007
3	5e-08	2.19115263226085	0.00058238246845349	0.784427721473513	0.228051915763444	0.337445966577163	1.23140947636986	34	210	202	2212	2	TCL hCRD	EC	3.23479170712996	1.96310071649741	2.41920454802429
3	1e-09	1.73418645109515	0.0331129276093295	0.550538399160914	0.258382438043522	0.0441088205956114	1.05696797772622	24	210	163	2212	2	TCL hCRD	EC	1.48000242032406	1.47580401305163	1.99256888913867
1	0.01	1.05629144413851	0.631370194118286	0.0547641359737037	0.114139702514453	-0.168949680954625	0.278477952902032	242	711	767	2215	0	MON hCRD	LC	0.19971592424218	0.942151741624057	1.17043114665296
1	0.001	1.08725122084376	0.517192527588713	0.0836526953680654	0.129157627496945	-0.169496254525946	0.336801645262077	154	711	490	2215	0	MON hCRD	LC	0.286347758444451	0.958093593346815	1.2164088483407
1	1e-04	1.18000671645862	0.242276309443252	0.165520130375461	0.141552942015181	-0.111923635974294	0.442963896725216	119	711	364	2215	0	MON hCRD	LC	0.615689050497584	1.03845377444344	1.3215596584738
1	1e-05	1.08225581741577	0.616353620021759	0.0790475826230562	0.157771774112159	-0.230185094636775	0.388280259882887	89	711	282	2215	0	MON hCRD	LC	0.210170048938783	0.924484043303611	1.24002759152793
1	5e-08	0.812572150570722	0.29338970974621	-0.207550568018366	0.197532781188761	-0.594714819148339	0.179613683111606	48	711	177	2215	0	MON hCRD	LC	0.532555122526852	0.615039369381961	1.01010493175948
1	1e-09	0.817379860484193	0.377710811555939	-0.201651346662719	0.228598012719893	-0.64970345159371	0.246400758268272	37	711	133	2215	0	MON hCRD	LC	0.42284058379338	0.5887818477643	1.04597787320409
2	0.01	0.984237496530769	0.896712960465608	-0.0158880527891268	0.122390158121748	-0.255772762707753	0.223996657129499	204	542	767	2215	1	NEU hCRD	LC	0.0473465532052368	0.861847338409021	1.10662765465252
